kanji,component1,component2,component3, component4,component5
隔,阝,鬲,冂儿,,
随,阝,迶,辶,有,
隊,阝,豕,,,
隆,阝,㚅,夂,生,夕
陶,阝,匋,缶,勹,牛
陵,阝,夌,,,
陳,阝,東,,,
陰,阝,今,云,侌,
陪,阝,咅,立,,
陥,阝,旧,ク,,
陣,阝,車,,,
陛,阝,坒,比,土,
附,阝,付,イ,寸,
阿,阝,可,,,
阻,阝,且,,,
闘,門,豆,寸,,
閲,門,兄,,,
閥,門,伐,イ,戈,
閣,門,各,,,
閑,門,木,,,
鑑,金,監,臣,皿,
鐘,金,童,立,里,
鏡,金,竟,音,,
鎮,金,真,具,,
鎖,金,貝,,,
鎌,金,兼,,,
鍛,金,段,殳,几,又
錯,金,昔,龷,,
錬,金,東,,,
錦,金,帛,巾,白,
錠,金,定,龰,,
錘,金,垂,,,
鋼,金,岡,冂,䒑,山
鋳,金,寿,寸,,
銭,金,㦮,戈,,
銘,金,名,,,
銑,金,先,儿,,
銃,金,充,儿,,
鉢,金,本,,,
鉛,金,㕣,,,
鈴,金,令,,,
釣,金,勹,,,
釈,釆,尺,禾,米,
采,⺤,木,,,
醸,酉,㐮,六,衣,
醜,酉,鬼,儿,,
酸,酉,夋,夂,夕,
酷,酉,告,,,
酵,酉,孝,子,耂,
酬,酉,州,川,,
酪,酉,各,夂,,
酢,酉,乍,,,
酔,酉,九,十,卆,
酌,酉,勺,勹,,
酉,西,,,,
郷,乡,阝,,,
郭,享,阝,亠口,子,
郡,君,阝,尹,,
郎,,阝,,,
郁,有,阝,,,
邸,氐,氏,阝,,
邪,牙,阝,,,
邦,丰,阝,,,
那,阝,,,,
邑,口,巴,,,
還,辶,睘,罒,,
避,辶,辟,尸,口,辛
遼,辶,尞,大,日,小
遺,辶,貴,中,貝,
遷,辶,覀,大,己,
遵,辶,尊,酉,寸,
遮,辶,庶,廿,灬,
遭,辶,曹,曲,日,
遥,辶,干, 凵,⺍,
遣,辶,中,㠯,,
遍,辶,扁,戸,冂,卄
遇,辶,禺,甲,,
遂,辶,豕,,,
逸,辶,免,儿,ク,
逮,辶,隶, 肀 ,,
逝,辶,折,扌,斤,
逓,辶,⺁,巾,,
逐,辶,豕,,,
透,辶,秀,,,
迭,辶,失,,,
迫,辶,白,,,
迪,辶,由,,,
迅,辶,卂,十,⺄,
辱,辰,寸,厂,,
辰,辰,厂,,,
轄,車,害,龶,,
輩,非,車,,,
輝,光,軍,車,,
輔,車,甫,,,
載,車,戈,土,,
較,車,交,父,,
軸,車,由,,,
軌,車,九,,,
躍,足,止,ヨ,隹,
踏,足,止,水,沓,
践,足,止,㦮,戈,
跳,足,止,兆,,
距,足,止,巨,,
趣,走,取,龰,耳,
赴,走,ト,龰,,
赳,走,丩,龰,,
赦,赤,攵,,,
購,貝,冓,井,再,目
賦,貝,武,止,弋,目
賠,貝,咅,立,口,目
