PK,SK,character,name,en,vi,EntityType
COMPONENT,700,礻,,,,Component
COMPONENT,701,票,,,,Component
COMPONENT,702,祭,,,,Component
COMPONENT,703,禁,,,,Component
COMPONENT,704,禸,,,,Component
COMPONENT,705,禹,,,,Component
COMPONENT,706,禺,,,,Component
COMPONENT,707,离,,,,Component
COMPONENT,708,禾,,,,Component
COMPONENT,709,秀,,,,Component
COMPONENT,710,秋,,,,Component
COMPONENT,711,秦,,,,Component
COMPONENT,712,稟,,,,Component
COMPONENT,713,穴,,,,Component
COMPONENT,714,空,,,,Component
COMPONENT,715,窄,,,,Component
COMPONENT,716,立,,,,Component
COMPONENT,717,竜,,,,Component
COMPONENT,718,竞,,,,Component
COMPONENT,719,竟,,,,Component
COMPONENT,720,章,,,,Component
COMPONENT,721,童,,,,Component
COMPONENT,722,竹,,,,Component
COMPONENT,723,筑,,,,Component
COMPONENT,724,米,,,,Component
COMPONENT,725,类,,,,Component
COMPONENT,726,粦,,,,Component
COMPONENT,727,粲,,,,Component
COMPONENT,728,糸,,,,Component
COMPONENT,729,系,,,,Component
COMPONENT,730,維,,,,Component
COMPONENT,731,緑,,,,Component
COMPONENT,732,縣,,,,Component
COMPONENT,733,缶,,,,Component
COMPONENT,734,罒,,,,Component
COMPONENT,735,罔,,,,Component
COMPONENT,736,罙,,,,Component
COMPONENT,737,署,,,,Component
COMPONENT,738,羊,,,,Component
COMPONENT,739,美,,,,Component
COMPONENT,740,羔,,,,Component
COMPONENT,741,羕,,,,Component
COMPONENT,742,義,,,,Component
COMPONENT,743,羽,,,,Component
COMPONENT,744,耂,,,,Component
COMPONENT,745,考,,,,Component
COMPONENT,746,者,,,,Component
COMPONENT,747,而,,,,Component
COMPONENT,748,耑,,,,Component
COMPONENT,749,耒,,,,Component
COMPONENT,750,耳,,,,Component
COMPONENT,751,耶,,,,Component
COMPONENT,752,聿,,,,Component
COMPONENT,753,肀,,,,Component
COMPONENT,754,肉,,,,Component
COMPONENT,755,肋,,,,Component
COMPONENT,756,肖,,,,Component
COMPONENT,757,肙,,,,Component
COMPONENT,758,育,,,,Component
COMPONENT,759,胃,,,,Component
COMPONENT,760,胡,,,,Component
COMPONENT,761,胥,,,,Component
COMPONENT,762,能,,,,Component
COMPONENT,763,臣,,,,Component
COMPONENT,764,臤,,,,Component
COMPONENT,765,自,,,,Component
COMPONENT,766,至,,,,Component
COMPONENT,767,臼,,,,Component
COMPONENT,768,舃,,,,Component
COMPONENT,769,舌,,,,Component
COMPONENT,770,舎,,,,Component
COMPONENT,771,舛,,,,Component
COMPONENT,772,舜,,,,Component
COMPONENT,773,舟,,,,Component
COMPONENT,774,般,,,,Component
COMPONENT,775,艮,,,,Component
COMPONENT,776,良,,,,Component
COMPONENT,777,色,,,,Component
COMPONENT,778,艹,,,,Component
COMPONENT,779,艹日,,,,Component
COMPONENT,780,芻,,,,Component
COMPONENT,781,苗,,,,Component
COMPONENT,782,苟,,,,Component
COMPONENT,783,若,,,,Component
COMPONENT,784,英,,,,Component
